ASTEROIDIEN RATAELEMENTTEJA (kts triad_read.pro)
NUMBER   A    E   sinI    WBAR   NODE
   247     3.14800    0.1140    0.2290      112.30       19.90
   248     3.09400    0.0950    0.1760      108.50      163.20
   249     3.15700    0.0370    0.1810      359.70      209.00
   250     2.64700    0.2300    0.1200      334.50      192.90
   251     2.19500    0.1160    0.0700      231.10       22.90
   252     2.74600    0.1070    0.1640      167.20        7.90
   253     3.00100    0.1000    0.2330      211.20      187.40
   254     3.11400    0.1020    0.0570       79.20       15.50
   255     2.61600    0.1590    0.2550        8.70      213.30
   256     3.13900    0.1400    0.1700      237.80       88.10
   257     3.44500    0.0840    0.1050      323.40      178.90
   258     2.33100    0.1320    0.0500      162.30       99.90
   259     2.55500    0.1970    0.1300       70.40       29.20
   260     2.88700    0.0420    0.0370       23.30      245.10
   261     2.79800    0.0900    0.1670       37.30       45.60
   262     2.41900    0.1750    0.4850      218.60      329.80
   263     2.80400    0.1250    0.2470       37.90      240.40
   264     2.77400    0.1130    0.0870      247.90       69.00
   265     3.09700    0.1700    0.0250      185.60      139.20
   266     2.61600    0.2040    0.0960      265.60      169.40
   267     2.19800    0.0920    0.0530      334.80      250.60
   268     3.00600    0.0670    0.0760       42.90      322.40
   269     2.77800    0.0500    0.0690      151.10       24.10
   270     2.39500    0.1490    0.3640      279.80      162.90
   271     3.04400    0.1580    0.0460      205.60       92.80
   272     2.77100    0.2010    0.0710      173.40      142.70
   273     3.11500    0.0420    0.3800      170.10      214.40
   274     2.88600    0.0510    0.0370        3.70      254.00
   275     2.75500    0.1720    0.1250      197.30       58.90
   276     2.94300    0.1120    0.1330      116.30        2.60
   277     2.18800    0.1340    0.0840       75.20       26.60
   278     2.33900    0.0990    0.1530      108.30      150.40
   279     3.04600    0.1050    0.1620      352.70      300.60
   280     2.35800    0.1890    0.1590      277.80      235.00
   281     3.08900    0.1690    0.3160      316.40      308.50
   282     3.19400    0.0210    0.2970      140.50      152.70
   283     2.35300    0.0470    0.1700      183.90      146.20
   284     2.76000    0.2420    0.0660      199.80      126.80
   285     2.87400    0.1660    0.1150       11.20      193.00
   286     2.33700    0.1880    0.4060      127.80       12.00
   287     2.22200    0.1410    0.0360      140.70      183.90
   288     2.52900    0.0180    0.2480      179.20       41.10
   289     2.86300    0.1200    0.2630      154.80       59.60
   290     3.14800    0.2130    0.0920      312.10      146.20
   291     2.79700    0.1520    0.0680       75.20      278.60
   292     2.22900    0.1230    0.0260       26.40      143.70
   293     3.17100    0.1100    0.1440      314.60      326.30
   294     2.26400    0.1450    0.1070      147.40        2.60
   295     2.43400    0.0410    0.0430       66.90      252.40
   296     3.20800    0.0110    0.0180      282.80      316.00
   297     2.72500    0.0830    0.0740      236.60      154.10
   298     2.40600    0.1050    0.0610       81.50      352.70
   299     3.12200    0.0450    0.1300       92.10      336.40
   300     2.40300    0.1180    0.2630      339.60      162.80
   301     3.08900    0.1980    0.0980      114.70      220.60
   302     2.35800    0.1170    0.1200      296.50      148.40
   303     2.90800    0.1250    0.0870       78.10      103.70
   304     2.75000    0.0450    0.0780      238.10      196.30
   305     2.66500    0.1160    0.0730      271.50      342.00
   306     2.76200    0.1530    0.0730      190.40      243.50
   307     2.89800    0.0410    0.0370      180.20       73.10
   308     2.78200    0.1730    0.1690      249.80      358.60
   309     2.37600    0.2260    0.2140      139.00      184.90
   310     3.15100    0.1440    0.2100      358.70      175.80
   311     2.24200    0.1200    0.0440      331.40      178.40
   312     3.17500    0.1340    0.0240       96.40      149.10
   313     2.28700    0.0420    0.0310      331.80      174.80
   314     3.19900    0.0750    0.1780      126.70      168.80
   315     3.39200    0.1840    0.1980       49.00      192.10
   316     3.01300    0.0740    0.1750       10.90      226.60
   317     2.88600    0.0460    0.0380      120.50       14.30
